author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
725201492387319809,2021-10-28 17:30:00+00:00,1453776075700506633,en,63,38,4,12,"Through games on Oct. 27, which rookies have done the most (or least) with their minutes during the 2021-22 #NBA season, per TPA? https://t.co/glhqbH2FFs"
1277453652924366848,2021-10-25 05:15:10+00:00,1452503983273119744,en,247431,57469,10798,96601,"Hello, this is GISELLE.

I would like to apologize for mouthing the wrongful word from the lyrics of the song that was playing on-site. I had no intentions of doing it with any purpose and got carried away when one of my favorite artist's song was played. I sincerely apologize."
1098152737693405184,2021-10-23 12:18:08+00:00,1451885649049575432,en,40641,924,183,9846,some challenges bts faced after debut - a thread https://t.co/ee8pTt4ODj
890891,2021-10-15 22:11:02+00:00,1449135754123251713,en,2000,169,147,192,"Best QBs in College Football So Far 🎯

1. Matt Corral (Ole Miss)
2. Bryce Young (Bama)
3. Grayson McCall (Coastal Carolina)
4. C.J. Stroud (OSU)
5. Malik Willis (Liberty)
6. Desmond Ridder (Cincy)

Full list 👉 https://t.co/w9V5NHtqA1 

(via B/R’s @Kenyon19_BR) https://t.co/NJT7vbZ1PH"
1520061464,2021-10-15 04:38:30+00:00,1448870875999072258,en,791,4,28,98,MLB knows fans from around the country tuned in for an ump show. Gotta give the fans what they want. https://t.co/aPIEdAMrke
1297301905459294208,2021-10-14 17:30:04+00:00,1448702661348499460,en,55,1,1,5,Boss Phase. https://t.co/XKvr9M2kUH
762699468,2021-10-12 23:35:48+00:00,1448069924996403201,en,32,5,1,16,“Can you turn off the subtitles?” 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩
1312367672,2021-10-11 14:33:14+00:00,1447570993422245899,en,3221,82,54,236,"#Chargers WR Mike Williams has had a monster start to the season.

- 31 receptions (7th in NFL)
- 471 yards (5th in NFL)
- 6 TDs (leads NFL)
- 9 contested catches (2nd in NFL)
- 80.9 @PFF receiving grade.

And he's in a contract year. Could be in line for some big-time money. 💰 https://t.co/7PFD7vlPfm"
3357595449,2021-10-11 01:35:29+00:00,1447375269623472133,en,2,1,2,0,i can't believe the zodiac killer was a girlboss
136447682,2012-10-09 23:20:20+00:00,255809954567557121,en,0,1,0,0,"Dewayne just said I dont like white girls. I ASSURE you, nothing could be furthest from the truth...."
50920331,2021-10-09 19:24:06+00:00,1446919417737007104,en,291,20,5,62,"Josh Barnett's: Bloodsport is here to showcase the best athletes in professional wrestling, from the up and coming to the vets.

One vet making his return to pro wrestling is going meet a young lion hungry to devour.

Davey Richards vs Yuya Uemura

Tickets
https://t.co/lyXicq1yyw https://t.co/FnhaEdZzlr"
1286141211129122816,2021-05-16 19:16:17+00:00,1394008822197403649,en,1,1,0,0,@Michael1016JL @user54092082 Ur from New Jersey so you have no credibility whatsoever
34793240,2021-09-28 03:29:02+00:00,1442692800060002304,en,3,2,0,3,Come talk this Eagles Cowboys game with ⁦@ChrisRyan77⁩ and I on ⁦@SpotifyGrnroom⁩ for some Big Philly Sadness  https://t.co/D5jplZZmQA
1268223690480615424,2021-09-27 19:58:38+00:00,1442579456120393730,en,11947,894,960,6763,BREAKING: Kyrsten Sinema is holding a fundraiser at an undisclosed location tomorrow with 5 corporate lobbying PACs who oppose Democrats' Build Back Better Act. The bill would cut taxes for the middle class and raise taxes on the ultra-wealthy and corporations.
1253458292719988745,2021-09-26 21:15:50+00:00,1442236493955624961,en,1247,24,197,86,"Twitter family, I am done for today.  My family and I don't deserve any disrespect from anyone.  I try my best show love and respect to everyone, but I guess not. Remember I love you guys and always ❤💓💋🥰"
15750040,2021-09-26 17:00:13+00:00,1442172168415100928,en,0,1,0,0,"Not at the game today, gave my tickets to my brother, who is moving to the left coast next week."
1198303343858212864,2021-09-13 15:17:43+00:00,1437435330240540672,en,2729,439,92,2464,Translation of Moddam’s apology to Bambam and Nichkhun on live television: https://t.co/VZaL1WBsmx https://t.co/25GPsWn4D7
445606133,2021-09-10 15:42:50+00:00,1436354488495915011,en,86598,1948,272,7576,IS SHE A JOINT? LMFAOOO https://t.co/PIG5N5uxfG
26434487,2021-09-09 07:43:02+00:00,1435871355199758337,en,2,1,3,1,Eish!!!! We throw back to 1 moment in sports history every Thursday and today…it’s this moment right here! 🤦🏿‍♂️ https://t.co/6aZEyS3mgk
1192549822865297409,2021-09-04 13:59:46+00:00,1434154222107480064,en,661,8,76,99,"As we enter the holiday weekend, please make plans to celebrate safely. Mask up when indoors outside of your home and in crowded settings. 

Right now Kentucky is in a dangerous place. We need to take the necessary steps to protect ourselves and others."
957657485078245376,2021-09-04 14:41:48+00:00,1434164798850154504,zxx,3580,76,22,582,https://t.co/AonBWhWogx
