author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
951353538851950594,2021-05-11 11:19:46+00:00,1392076965507653636,en,32,3,12,4,"Found a new Meme Play. Dev is legit I was told. 

Launching soon

https://t.co/3cnte9uSxH"
1237060124063215617,2021-05-07 14:40:58+00:00,1390678044910755841,en,4,2,2,1,"Today we end our SURVIVOR VANUATU journey :( 

...but before we do we make sure Julie gets her hat, we visit hat island, and experience a casting hat trick (all three of us had the same actor in mind for one of the players!) 

@SchmitstrS is our A+ guest for this A+ season!"
1381788951330062336,2021-05-04 13:24:55+00:00,1389571742570590214,en,3,1,0,1,Damn that was a long stream I did last night https://t.co/0BrK7bDMFZ
21130921,2021-05-04 01:30:33+00:00,1389391967172403203,en,1,3,2,0,Charlotte Council memberEd Driggs (@EdDriggsD7) apologizes for remarks about 2040 Plan @davidboraks reports https://t.co/zKCsSVnW0y https://t.co/k7W78EhdLM
1289087425038303232,2021-05-03 06:11:32+00:00,1389100290616434691,en,7,14,0,5,"Lots to unpack here, let's get into it.

Heritage 3.2 is available now, on demand!

https://t.co/3fKxegbdhE https://t.co/PVq58yyVY6"
1029137319868162048,2021-05-01 23:03:36+00:00,1388630209923014665,en,12,1,3,0,"no bc how are u gonna sb oomf after she called u out for liking a tweet with the n word as a nb person🤕
and then go on to say “i apologized” ... where is the apology friend ? https://t.co/zPW6emQEFe"
893500973213200385,2021-04-29 15:11:20+00:00,1387786584624410630,en,1,1,0,0,@colebthecow how come u didn’t post these🤨 https://t.co/FSQa1ieT0V
994993147896774656,2021-04-28 06:48:56+00:00,1387297765756047368,en,44,1,11,24,I want @ughphoenix7 to come out and publicly apologize to @BUSANBOY___TWT &amp; @comma_bts since you enabled this whole issue as bora minions &amp; enabled harassing innocent Jimin fans who were trying to protect Jimin. Every fake OT7 &amp; bora minion esp YOU now is looking like A FOOL!!! https://t.co/CJHfVN2EMK https://t.co/idIfwFcsXI
481649859,2021-04-27 11:46:15+00:00,1387010199513288705,en,0,1,1,0,"No. What’s this for anyway? Is this for reading my personality or something? 😅 My zodiac, birthdate, and anything related to me personally considered as my boundary. If you wanna know me more, just talk to me directly instead. My DM is open publicly.

Thanks for the choco btw. https://t.co/QHRDHNGJSP"
1416537146,2021-04-26 14:51:11+00:00,1386694353091842053,en,4990,183,197,560,Pumped to announce I’ve joined @blockfolio ! Excited to help bring these two worlds together  #Crypto https://t.co/8eJKU4QIrI
1594551674,2021-04-23 01:50:21+00:00,1385410684842700801,en,11,1,0,0,thinking about my 8th grade promotion when the speaker said “yea uh huh you know what it is” &amp; the whole class repeatedly shouted out “black &amp; yellow” bc those were our school colors lmfaooo gn
1290106744543350785,2021-04-19 17:49:14+00:00,1384202443320295428,es,0,1,1,0,@BINEOUL Y TU TABA AHI JIA!?!?!
26257166,2021-04-17 05:01:28+00:00,1383284454441963524,en,7622,655,345,1037,"De'Vincent Spriggs, who accused Aaron Donald of assaulting him, has apologized to the Rams star through his attorney.

Attorney Todd J. Hollis told Pittsburgh television station KDKA that Spriggs mistook his attacker.
 https://t.co/d4MjJGXDCy"
416463945,2021-04-16 15:20:59+00:00,1383077971766960134,en,0,1,1,0,eliminations are starting ok everybody stay calm we can go through this
194939760,2021-04-14 20:57:15+00:00,1382437822032936962,en,552,70,207,65,Why did you stop talking to that Friend?
1228626973133606912,2021-04-14 16:34:32+00:00,1382371705037807617,en,170,23,1,50,the nanny said milf and dilf rights! https://t.co/fPFkr1boc1
371539066,2021-04-13 18:43:37+00:00,1382041802115407872,en,14478,833,1610,1395,"I’m not gangsta, but I’m not going bck and forth with KD and lose my job either. I’ve had disagreement with other athletes, ppl b4 , we handled it like adults and moved on... “ADULTS” https://t.co/BYJrCxSpfj"
1381999028884267018,2021-04-13 18:17:37+00:00,1382035260909580291,en,55,5,3,13,"could be just screaming into the void here, &amp; i’m sure y’all are tired of it. so am i lmao. but this is for everyone who’s lost their voice to grey or anyone else. i see you. https://t.co/zxK6K5CV5e"
17839398,2021-04-11 02:33:32+00:00,1381072898685829122,en,2012,514,229,1186,"Now that Aung San Suu Kyi is once again a victim of the Myanmar military's repression, will she publicly revoke (and apologize for) her defense of that same military's mass atrocities against Rohingya Muslims? https://t.co/ysIX7Uz22i https://t.co/BXUcXTn5wv"
337562055,2021-04-11 10:12:13+00:00,1381188327102119937,en,1470,709,96,535,"According to this, there was a reason for Kim Jung Hyun's attitude controversy during 'Time' press conference

Kim had a conflict with the production crew over the genre and storyline of the drama. The conflict then worsened due to his eating disorder

https://t.co/wWTWPVVfLG https://t.co/HwakpXuP8v"
902885607395008516,2021-04-06 15:18:06+00:00,1379453369144774660,en,1,1,3,0,@FrostyDFS @HobbyConnector @Hobby_Connect We will say that prior to injury this is a steal. But your comps are based on pre injury market. Find a comp from today to measure against asking or just hold. That’s if you want a serious buyer. Just our opinion.
1244861551204618242,2021-04-06 00:27:00+00:00,1379229113442045954,en,33,1,1,0,tried to show matt how my legs look in my shorts and he told me i was dressed like a randomized sim
20878297,2021-04-04 00:35:27+00:00,1378506465158303747,en,16841,1049,1302,5138,This is how you handle police who enter a church without a warrant. They’re lucky they only got a tongue-lashing: s. 176 of the Criminal Code makes it a crime to disturb a church service. Those @CalgaryPolice thugs were breaking the law (and knew it). https://t.co/0XhAuwv0yg
4750191864,2017-08-20 08:24:51+00:00,899185448555237376,en,2,1,0,1,just letting u know i skip mark's rap in cherry bomb
1208871098181271552,2021-03-26 19:38:50+00:00,1375532717966729219,en,7,1,0,0,"Recent events surrounding Roxanne have really disappointed me, it hurts knowing that this was someone I truly considered a freind, it hurts knowing that without knowledge of things that were kept from me I was not able to react in ways I would have ..."
980528527425630209,2021-03-25 15:20:21+00:00,1375105278279049221,en,9,1,1,0,"@Syberkai Oh 100% you're right. I made a shit post and people commenting and making me explain myself further had me thinking more about it though, and realizing my issue is with that and not with people working on stuff."
1254223033725845504,2021-03-22 22:14:44+00:00,1374122396836315137,en,9248,8717,1109,2098,Hear we go... the Derrick jaxn confession.. 🥴🥴 https://t.co/MNYrryawih
3355451547,2021-03-21 18:42:11+00:00,1373706519875887113,en,147,6,9,11,"""tommy is a bad parent"" ""tommy is traumatizing his children""

have y'all considered the fact that those kids might simply be unpleasant to be around?"
486117300,2021-03-20 17:24:58+00:00,1373324702081544193,en,5369,267,36,549,@TheBaddestMitch @All_aMIRRican There's almost nothing Quavo can do that will be able to top this https://t.co/glB5tr8RS1
21901715,2021-03-15 20:09:26+00:00,1371554149041532929,en,5,3,4,2,"ANTI-ASIAN GRAFFITI: “I was pretty upset. I was boiling,"" he said. ""I had to take a couple of minutes to just clear my head a little bit.""
https://t.co/mXXb6FDKN2"
425509564,2021-03-14 17:52:28+00:00,1371157295418249221,en,0,1,0,0,Go @WestwoodLee 🏌🏼‍♂️Hes #OneOfUs except infinitely better.
1231098676396740608,2021-03-14 01:47:44+00:00,1370914511960600577,en,11,2,8,0,"Coming Clean and Moving Forward

Read: https://t.co/tp2ApHwqQr"
49876024,2017-10-11 20:00:40+00:00,918204725157289985,en,19,1,2,3,"days my parents have been in LA: 2

days my dad has zipped off his pants into shorts in public: 2"
202292485,2021-03-11 02:52:04+00:00,1369843535927730182,en,2,1,1,0,@gwartney19 @CodeNewbies Nice! PHP was my own first backend language through @0xmchow's class in the semester I took it!
1169288075010289665,2021-03-09 22:12:20+00:00,1369410752071806978,en,12,2,1,0,"@Iovlia aren't u being unnecessarily mean 
you are so stupid https://t.co/05XuMgJJ4y"
3441357856,2021-03-09 16:26:27+00:00,1369323706988851201,en,537,8,24,14,"you know how there's ((())) for jewish stuff, well i'm inventing {{{}}} for Italian stuff: the irregular curvature reflects the vivacity and brio of italian culture"
757325918,2021-03-05 18:29:23+00:00,1367905092700102657,en,0,1,0,0,I swear to god if he is still here in 2 years I will lose my shit. https://t.co/nALnrhBJQO
2970462034,2021-03-02 01:18:59+00:00,1366558621232939015,en,14312,977,4618,2650,The time has come. The Governor must resign. https://t.co/GjcvuNfpfQ
16254381,2021-03-01 03:19:57+00:00,1366226675613188102,en,1132,110,184,212,"Y'all. This is a real flyer for a real event that happened today.

😫😫😫😫😫 https://t.co/CkFr4jUTHm"
1277415577435471872,2021-02-28 00:56:07+00:00,1365828091801698305,en,50,5,0,12,AntMan almost committed murder AGAIN https://t.co/32rimHqqog
1266351853,2021-02-25 01:51:47+00:00,1364754937427722242,en,115,2,1,36,"A faculty member at my university published an essay calling for sympathy for those who attended the Jan 6 riot. This essay minimizes the lived experiences of women, people of color, and LGBTQ individuals. Mount students: know that I do not condone or support these views. https://t.co/17Bw49fi2y"
1289192408727552001,2021-02-27 16:05:18+00:00,1365694507673546758,en,134,5,1,13,"AGAIN, I believe Mingyu should be held accountable for his actions in the past that have inflicted serious damage to OP, but don't discredit the fact that he grew, matured and changed. EVERYONE deserves a chance to change."
1346952308152680448,2021-02-22 19:21:14+00:00,1363931877170675713,en,32,2,5,1,I SWEAR ITF SOMEONE SAYS SOMETHING LIKE THIS AGAINNN AHHH #druck https://t.co/CHDbkG3xW5
1117786405,2021-02-21 19:42:06+00:00,1363574737528496129,en,186493,4190,7329,8598,"can someone please explain why da baby is dissing jojo siwa when she’s 12 years younger, 10 times richer, and 2 inches taller than him"
1087380412089987077,2021-02-19 00:00:41+00:00,1362552651561504769,en,41715,9963,7790,8241,"Sen. Ted Cruz, back in Texas, says it was ""obviously a mistake"" to go to Cancun.

You can hear protestors chanting ""Resign!"" in the background. https://t.co/FwA6Dsg4fv"
1343624953288138755,2021-02-19 00:10:39+00:00,1362555160099233793,en,1,1,1,0,@yeopots forgot gay 🙈🙈🙈🙈💘💘💘💘💘💘💘
1079416657578258432,2021-02-17 01:48:31+00:00,1361855012117315587,en,20,2,0,0,it’s kind of a no brainer that you would get harassed by someone’s fanbase after throwing a shoe...idk
1068392084502126593,2021-02-13 22:46:11+00:00,1360721964441157633,en,2716,41,25,268,ironically and unironically the best purchase i've ever made https://t.co/RMXWNDQphi
