created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2018-02-25 02:37:32+00:00,967589350405001216,lucas&archer&sadie,88,147,0,8480,lucasandarcher
2020-04-03 18:06:05+00:00,1246136841662799876,🦌,907,579,9,36379,seofessional
2016-05-12 02:37:46+00:00,730587744104112128,Ben,190,266,0,18407,BentheRenegade
2011-03-31 02:12:22+00:00,274808245,social delstancing,167,444,0,3178,delbrewe
2011-06-18 00:51:39+00:00,319373889,Rev Rachel Kessler,1416,1016,30,5141,RevRachelK
2020-01-27 17:07:19+00:00,1221842001571864578,Honolulu Blues,10304,940,41,9461,HonoluluBlues_
2021-01-15 03:13:15+00:00,1349917341858078722,NYRyan,244,316,1,4114,NYRyan23
2020-06-22 23:13:25+00:00,1275204681569112064,SWEET ICED T,25923,24807,33,35412,sweet_iced_T
2009-12-02 19:14:09+00:00,94154691,Jerry 🍨,11581,8766,11,270343,js_edit
2020-01-15 22:20:34+00:00,1217572262850842625,ard,1806,1423,0,14766,ardaliu
2012-09-26 18:02:05+00:00,847854955,LoneStarTexas1st#Texit,2596,2860,8,139468,SBJDFW
2013-04-26 01:11:25+00:00,1380787645,WE GONNA BE ALRIGHT,6005,1579,0,30768,xoDrVenture
2020-06-04 16:55:38+00:00,1268587167850262529,아포방포SexyNukimFt.RM⁷ 💜|ᴺᵒ¹,368,444,1,26028,SushiAndSeokjin
2013-10-08 01:57:19+00:00,704331665,Rage Electra,309,631,2,28651,Hauslejandro
2010-09-13 02:57:46+00:00,190113935,Kate Littlejohn,1854,1063,28,112050,SosoTheWanderer
2015-03-13 23:26:48+00:00,3091542142,Chain Sawngz,94,2270,0,11230,chainsawngz
2019-11-03 20:31:44+00:00,1191090550004428800,Yuu🌱 | OT7 IS THE BEST,518,231,6,17822,yuu0_0113
2020-08-27 02:26:45+00:00,1298809094267174912,kenny⁺¹ saw SVT,182,448,8,2947,hyukasverse
2014-03-10 03:40:59+00:00,2381458064,amy p,158,158,0,1525,amyp___
2008-12-09 18:24:24+00:00,17997831,Jimmy Mays ✝️,2564,4959,68,277629,TreyMays
2016-02-03 23:28:49+00:00,4875114297,PrettyTopSecret,607,2487,8,13665,AKSMT18
2018-04-24 21:43:22+00:00,988896202962939907,Alex B. 🤨😤🥵🌯,1381,2378,11,12849,lipstickghoulie
