created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2020-01-09 03:00:32+00:00,1215105987616501762,Jesabel,6621,597,42,30680,JesabelRaay
2021-07-17 03:06:30+00:00,1416232758381264896,caitlyn🫐 8 • 22,133,198,2,9330,whore4haim
2018-01-02 15:15:28+00:00,948211145009238018,Duru,179,221,0,28711,reinerMensch
2021-04-09 15:26:42+00:00,1380542405112258561,vara ✧ haitham waitroom,30,558,2,10401,ayatophile
2017-03-06 17:52:09+00:00,838809438249091072,Nabs Nab 🧭,180,1152,4,25287,dragonsnphoenix
2020-01-06 17:33:49+00:00,1214238610704060416,|| Demian 🇨🇱 || 🐍,554,587,7,31517,V1peraEvanesca
2021-07-28 05:46:20+00:00,1420259199301439490,prince,19,0,0,7384,uhforeverrain
2011-12-07 15:48:45+00:00,430801666,Marg 🪸,2139,498,57,353137,starspangledkid
2019-06-09 08:40:31+00:00,1137640604970577920,♫『 уᴜηɪ 』♫,543,473,10,7942,innxcxnt
2020-10-09 04:58:34+00:00,1314429882969935873,potteh_23 🇲🇾🇩🇪 STOP MRT3,251,423,0,34061,23Potteh
2017-01-10 12:43:03+00:00,818800320386072576,Rae Deeton5,4256,4238,26,85763,Rae0014
2010-02-19 02:32:32+00:00,115556928,aprilsnewton,813,1226,21,5069,aprilsnewton
2014-02-02 12:07:54+00:00,2319884434,Jay,2678,3240,2,28940,Grandpa__Jay
2013-02-13 20:40:55+00:00,1176767154,AhBrightWings,3322,3346,3,9361,AhBrightWings
2017-04-13 12:49:07+00:00,852503916294090752,Cody,5,76,0,3565,thecman235
2021-02-02 18:07:08+00:00,1356665419625418753,ᅟᅟᅟᅟ ᅟ𝐕𝐄𝐍𝐃𝐄𝐓𝐓𝐀.,1743,1422,85,23976,VENOMDAGGERS
2022-01-20 06:19:43+00:00,1484047927089799171,Simon ³,608,146,5,12773,Nachtconss
2010-07-28 22:14:26+00:00,172093866,sunny,448,94,7,86104,chicadelapt420
2012-05-29 15:45:45+00:00,593813785,Donna Young 📰 🗞️,10554,2482,630,196352,DonnaYoungDC
2016-09-23 02:17:46+00:00,779142683658952704,D,58,96,0,23946,dpachecojr2008
2019-01-08 01:08:23+00:00,1082443865657880576,James,3003,2957,9,238038,James82224273
2019-07-28 02:38:19+00:00,1155306460739489794,⭐️Slurku_irl⭐️,99,0,1,37524,Slurku_irl
2020-02-24 13:29:58+00:00,1231934245381099521,citlali (￣ω￣),200,227,0,6449,m0rn1n9st4rz
2011-07-26 22:03:11+00:00,342987607,Busza (Busia),2507,4944,10,129497,Busza_
2018-01-11 18:00:55+00:00,951514269832507392,S⁷ #TeamLY,694,268,1,119226,ughdilfs
2017-05-24 03:23:16+00:00,867219420489371648,Kay,558,370,7,110900,PlatinumFiree
2015-01-09 20:25:01+00:00,2970314067,Lisa,283,924,0,3075,posumby_lisa
2009-12-18 14:39:52+00:00,97679902,C-Lo 👑,760,497,22,78819,PuffDaddyCLo
2017-06-03 04:31:27+00:00,870860456411484160,Matt Fels-McDowell🌹,79,151,0,1305,FelsMcDowell
2017-01-16 18:37:01+00:00,821063726015148033,Neveen,528,457,5,9945,neveen___a
2019-06-27 13:43:39+00:00,1144239871139176448,Spider-Ken ( prequels Era ),2087,4722,12,43915,SpiderKen1995
2019-02-02 06:55:12+00:00,1091590841917816832,SeoJoon,162,244,1,23801,SJ_2129
2018-09-17 14:57:46+00:00,1041702760083730432,bloob🫐,4631,214,7,16906,bloob3rry_
2020-06-30 11:24:45+00:00,1277926005663916035,liv 🤍 gwenpool fanclub,115,623,2,26123,lowpolytifa
2020-11-11 11:37:09+00:00,1326489046026244096,Boda Ridwan,628,1658,1,3660,ridwantician
2022-03-03 03:28:51+00:00,1499225186553548800,Taigaa,452,837,5,9888,Taigaa_Tiger621
2011-05-14 21:27:30+00:00,298748241,𝙧𝙞𝙛𝙜𝙖 ✿ 🇵🇸,5744,1328,10,60008,MRifgaR
2019-03-09 04:42:21+00:00,1104240984941051905,logos over pathos 👌🏿- based liberal 🇺🇸,322,525,2,34240,3ph3m3r1s
2020-10-24 21:33:53+00:00,1320116274714869761,em 🖤✨,167,629,1,1040,em___uhlee
2014-02-22 01:45:39+00:00,2355595164,Daniella Lee,180,457,12,82976,DaniellalLee
2013-01-18 01:15:01+00:00,1099693976,bill,7115,1178,26,5170,Belisarius2020
2022-01-16 17:55:52+00:00,1482773510762242049,theft king,4080,149,7,833,TheftKing2
2019-04-22 02:14:22+00:00,1120148808430686209,Megan,18663,2141,33,31291,meganjrenee
2011-05-03 01:28:56+00:00,292057235,Dr. Malinda S. Smith,11210,2428,0,36890,MalindaSmith
2011-07-02 00:30:18+00:00,327697369,James C.Coyne,9911,2097,348,70289,CoyneoftheRealm
2014-10-30 21:04:59+00:00,2883843686,Sari,6381,5793,569,113877,SMCADMAN
2018-11-24 11:18:41+00:00,1066289999534940160,ddeonu,83,68,0,758,elardo_joshua
2013-11-23 00:08:49+00:00,2192098397,Ribonchan59,1161,392,1,6880,Ribonchan59
2020-07-04 19:31:42+00:00,1279497892722610181,ValleyWitch ☽,1201,419,7,89089,NINETIESWITCH
2015-01-19 04:12:44+00:00,2989249962,spacekitsch,5752,622,24,3576,spacekitsch
2019-10-21 00:08:03+00:00,1186071566054035457,carrie!!,1753,355,11,8258,carrarium
2015-01-21 03:18:02+00:00,2988771178,jim axmacher,183,277,0,18174,pharmdax
2020-11-24 22:49:35+00:00,1331369342374719498,jess,642,455,11,15793,kellettsgaines
2020-04-03 15:57:07+00:00,1246104418648330241,rina,281,428,10,48603,surynapping
2017-09-30 12:16:37+00:00,914101676688191488,🏳️‍🌈Satanic Woke Wolf 🇵🇷 BCE,466,977,2,8024,BigChainsawEnrg
2010-01-18 14:12:16+00:00,106100935,chico,281,363,5,14425,whisperzzzz
2022-04-28 17:19:34+00:00,1519727961527697410,︎ ︎︎CHECK PINNED 📌,218,222,3,16230,snahdiaia
2016-12-29 17:29:29+00:00,814523749173227525,Brieken,209,597,3,1156,briekenberry
2011-06-02 09:31:52+00:00,309570860,Ruchi Angrish (She/Her),3533,4880,99,92058,RuchiAngrish
2010-12-27 21:23:59+00:00,231191249,Adam Blackhat,388,114,27,19818,AdamBlackhat
2010-01-09 19:17:11+00:00,103352407,Hana Mohsin Khan | هناء,27619,1730,14,13499,girlpilot_
2015-03-10 08:23:10+00:00,3071077238,Lifeyeller,39,133,0,10194,KSwastiB
2012-06-18 03:41:58+00:00,611355092,L’Inconnue,64,464,0,1472,beyondlove19
2012-07-09 18:54:19+00:00,631408833,ryan,4040,965,167,44259,mikaelsonsdrew
2020-11-04 18:40:26+00:00,1324058887763492866,Afrodyte Rose,33,234,0,136,AfrodyteR
2019-07-27 21:50:33+00:00,1155234042675003392,❣️,55,85,0,5760,notzelin
2021-03-15 16:13:24+00:00,1371494684154007552,Joe’s Future Futch Wife,186,156,1,10288,butchalien
2020-05-29 04:33:30+00:00,1266226053992742917,zoieblair,16,160,0,7837,zoieblair1
2020-01-27 11:51:50+00:00,1221762667100233728,EL Chipi 🌹not EL Chapo,7203,6529,3,5111,SarahHajira
2020-12-29 18:51:00+00:00,1343992874548002816,TheGuardianSystem 🍓,863,3561,32,23930,TheSpoopy1s
2012-04-18 00:11:28+00:00,556400855,💋 ᴾʳᵒᵒᶠ 🃏ʲᵃᶜᵏ ᶦⁿ ᵗʰᵉ ᵇᵒˣ NamKoyasArcaneAlien⁷👽,682,1701,14,192694,SassyandGeeky
2009-04-26 19:40:42+00:00,35544539,MasterP👑,1030,951,15,153234,FlawLESSnBr0wn
2011-10-21 20:19:23+00:00,395530369,what he say fuck ME for?,1134,1284,1,74033,aamxoxoxo
2012-10-24 00:50:13+00:00,900884694,DJ Slayer Relic,337,744,0,49801,DJSlayerRelic
2020-05-05 13:13:10+00:00,1257659508458786818,ROCKY MY BABY OTTER🦦💕,18,131,0,894,rocky_pebble025
2022-04-25 16:59:46+00:00,1518635853861564417,Bad Johnny Depp Takes,6793,61,11,7103,baddepptakes
2021-08-22 00:36:50+00:00,1429241020168818688,💚🖤Rat_Boii 🖤💚,47,218,1,735,Rat_boii_
2010-08-24 22:00:25+00:00,182560494,Jennifer Wade,8,47,1,241,jluvs07tw
2011-03-03 21:55:15+00:00,260436889,Tori King,690,723,4,6461,TorikingTV
2021-05-09 15:13:38+00:00,1391411001153646596,Aɱαყα Kɾιʂԋɳαɳ ,1490,503,0,34760,amaya_krishnan
2014-03-09 06:16:54+00:00,2379962743,Tanzeela Mazhar,82396,1952,82,26666,TenzilaMazhar
2022-02-17 07:19:32+00:00,1494209849382502401,B-Loved Wizard,60,374,0,180,BL0vedWizard
2020-08-04 10:45:53+00:00,1290599792599420928,ArtisticalyCosmatic,54,296,0,2967,ArtisticalyC
2021-08-09 10:21:48+00:00,1424677143326257153,🤍💜Crisy💙❤️ 🏳️‍⚧️ ,579,420,22,13181,YourUsualZelly
2010-08-31 22:58:30+00:00,185413136,The Last Unicorn 🦄🔮,1237,1207,9,31389,PeonyPrincess__
2020-11-26 14:18:48+00:00,1331965503133286400,ؘ,122,295,1,27243,eruille
2020-07-06 13:19:55+00:00,1280129309579988999,α,138,163,6,40927,daiIysuna
2009-03-14 19:54:09+00:00,24419622,damian knoxx (NSFW 18+),18881,2554,36,29049,damndamianxx
2014-10-15 16:53:06+00:00,2856937382,Diamond Song,362,3100,22,85097,diamondsong42
2021-08-03 04:40:09+00:00,1422416250819448832,CHERRYSUN 🏎 | Jovonna 🌻,97,205,1,4911,HaechansFlower_
2021-08-05 16:06:25+00:00,1423314422681030662,jelly CHILDE APOLOGIST!,254,90,3,2712,xiaosjelly
2017-04-20 21:09:15+00:00,855166494103060481,steph,304,528,1,2535,sdrews07
2010-02-27 03:13:09+00:00,117939372,Himbo Simpreme,477,2226,2,18171,Papa_Cthulhu
2022-01-17 22:05:17+00:00,1483198683827027969,𝐺𝑖𝑣𝑒 𝑨𝒎𝒃𝒆𝒓 ℎ𝑒𝑟 𝑣𝑜𝑖𝑐𝑒 𝑏𝑎𝑐𝑘 ~,500,214,0,1111,xXqueenHeardXx
2021-11-15 01:35:53+00:00,1460058768985804802,g🍑m4l1fe!,0,144,1,1386,g0m4l1fe1
2016-04-29 08:07:18+00:00,725959629579128832,Brian,5541,1740,4,62140,_3rian
2021-02-20 17:45:25+00:00,1363182942319763456,senate is an alien superstar🥺,296,220,1,16001,KahraTladi
2014-02-10 00:58:27+00:00,2335874960,billie jean is not my lover,4115,3922,43,549095,_justkimberlyy
2022-02-18 04:51:16+00:00,1494534923524390913,Sel,141,148,5,31088,shota_Naoya
2010-03-02 01:47:23+00:00,118897635,Eskaver,1040,33,6,47322,toronai22
2013-07-29 08:23:48+00:00,1629868705,U.O,897,1098,0,8149,UrchIce
