author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
17525171,2019-01-10 08:01:00+00:00,1083272480977051649,en,13,4,1,3,"""John has been forthright in taking ownership of his behavior, apologized for his actions and has spent the past year on sabbatical analyzing and improving his workplace behavior,"" wrote Skydance CEO David Ellison https://t.co/QkjmJ2kjsj"
379291643,2019-01-08 14:57:43+00:00,1082652574283689985,en,5,1,0,4,My cold shoulder is really cold and o feel sorry for anyone who has to experience that
17907987,2019-01-03 01:34:40+00:00,1080638542563475456,en,293,87,88,72,"This is not to say that Bernie didn't express regret about what happened in 2016. 

""I certainly apologize to any woman who felt that she was not treated appropriately, and of course, if I run, we will do better next time."""
227837742,2019-01-03 01:34:23+00:00,1080638469569949696,en,724,199,468,250,"Sen. @BernieSanders tells @andersoncooper he had no knowledge of allegations of sexual harassment and pay discrimination against women in his campaign organization during his 2016 bid for the White House, adding, ""of course, if I run [again], we will do better next time."" https://t.co/2tPlmiYfB3"
