created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2020-05-31 16:20:01+00:00,1267128623925874688,💜Ruby♡BTS♡proof,66,75,0,1831,RUBYLUDIC
2020-09-20 16:09:08+00:00,1307713125882372096,Annie★ HONEY LOML || hoe for user thv,1341,1425,11,54224,28SMOLMIN
2021-11-04 15:05:10+00:00,1456276262482157574,Yellow_Renjun,20,139,0,1719,PotassiumKey
2019-06-24 10:44:45+00:00,1143107688928333824,Ux. F77,3,172,0,1043,F77Ux
2011-05-06 13:43:18+00:00,294070403,KOOK DAY,754,504,2,42636,jimimochu
2012-06-11 05:52:45+00:00,605234160,Kal⁷ ✨🐰KOO DAY🐰✨,542,2574,2,9896,min_kal7
2019-07-12 17:25:12+00:00,1149731447432814592,sami⁷☻ semi ia era🧬,466,383,5,55969,seokjiniesbread
2018-05-03 11:35:06+00:00,992004620279955457,ᴮᴱJINius prince⁷ BAD DECISIONS 💜,418,507,0,88286,JJ01263
2020-07-09 15:16:08+00:00,1281245716422078464,Neyayayaya,6,93,0,1150,NeyaSharan
2013-01-25 15:43:21+00:00,1119626377,Robs ❄️🧣,2027,2592,15,75640,Everybody_Sings
2021-11-11 03:44:37+00:00,1458641731487174657,jurielle*♡ KULAY ROSAS ANG BUKAS🌷,426,506,1,2802,jeju_berry
2019-03-22 09:55:24+00:00,1109030809267130368,⁷,1925,1829,41,128408,septemberkive
2020-08-13 05:01:53+00:00,1293774665148596224,veo | SEXY NUKIM 1/9,582,599,2,50399,wingsofveo
2021-04-18 05:56:09+00:00,1383660568981082114,N⁷ in the box🃏,222,225,1,22471,baepsaeuphoria
2020-11-20 03:44:38+00:00,1329631671310643201,Jeb⁷ #SexyNukim,939,875,13,75726,jebhyyh
2011-05-19 01:10:44+00:00,301180691,DemiGod ⚡️🌩,2036,1326,31,116879,DemiGodReviews
2018-10-06 16:23:36+00:00,1048609731290357760,del⁸⁵,5017,329,56,58385,yibospace
2019-09-02 10:17:40+00:00,1168467969619505152,CHINEMEREM😇,1853,1164,1,37054,neme4U
2009-10-19 08:37:05+00:00,83554681,XNDA,916,516,0,30852,lakheniLala
2015-03-31 21:20:19+00:00,3130893035,Aria deSatanas 𖤐,4609,69,23,20972,AriadeSatanas
2015-06-21 11:34:24+00:00,3338760741,Kamogelo - NK🇿🇦,13023,12937,7,162844,nes_kamogelo
2011-03-29 08:16:00+00:00,273843773,Nico Robin,773,110,1,6674,fdziraa
2021-09-20 17:24:28+00:00,1440003895229497346,Ky.,219,346,1,1614,Kyrette4
2019-02-02 18:46:40+00:00,1091769888170041345,Cynicalpup,174,94,0,4290,Cynicalpup1
2013-12-20 05:41:15+00:00,2254541167,Gee 🍓,732,566,23,57433,HENITOCUMSLUT
2018-04-08 17:27:39+00:00,983033644183932928,eremika canon but at what cost,572,378,4,6623,daenerystale
2011-06-02 03:05:01+00:00,309442682,Ida V. Eskamani,9824,767,52,18837,ida_v_e
2014-09-13 02:25:02+00:00,2768493281,grace tairy,190,299,1,2620,grace_tairy
2019-12-30 00:17:59+00:00,1211441208611917824,Blurry DOESN'T WANT YOUR DAMN LEMONS,197,693,3,31650,BlurryDawgo
2016-01-01 18:26:44+00:00,4691001679,Dijj,225,1955,7,66708,Digitominal
2021-09-13 21:54:33+00:00,1437535167287992320,.,536,759,11,66420,kyusangi
2016-04-29 19:02:21+00:00,726124480863588352,Jo,113,248,0,656,jojoNben13
2018-06-19 12:16:37+00:00,1009047297211207680,alms #lesbitwt,832,1307,7,51668,winonawonder
2019-04-11 15:11:28+00:00,1116358108790632449,lucas!! 🐶🌻,678,276,3,32069,cinnapuppy
2010-01-26 19:18:48+00:00,108691306,Priyamvada Gopal,82569,2103,446,73581,PriyamvadaGopal
2021-05-19 11:14:21+00:00,1394974609074622464,Sʜᴀᴜɴ Bᴀʀʀ (SB),9102,5009,3,3918,ShaunBarr10
2016-02-10 14:34:12+00:00,4895090951,L⁵🌟// ☀️🦦,329,286,14,26930,UghMulti
2009-06-05 20:39:04+00:00,44989702,aquariana ♒️🧚🏾‍♀️,652,417,6,63060,briasprimavera
2009-07-21 23:40:20+00:00,58963171,🔥Ix K’abal Xook🌶,2287,725,43,209253,CmndrLex
2018-06-16 09:00:23+00:00,1007910750591971328,😬,1425,1597,2,23151,BrogIe_pyon
2010-08-24 19:51:15+00:00,182517557,Pujan Biswas,3694,1333,8,31375,pujanbiswasTR
2019-07-22 21:37:24+00:00,1153418792120324096,eri,525,364,2,32633,fleabagger
2021-03-11 23:44:47+00:00,1370158657967685632,Mercer Wilkie,377,482,6,10340,LocalGrumpyDoc
2019-12-22 08:52:36+00:00,1208671546656665602,Rosa Rey Ramsey,319,1015,2,113182,Rosa_Rey_Ramsey
2010-04-13 21:51:32+00:00,132671366,Anyssa Bohanan,929,1555,12,1786,AnyssaBohanan
2019-04-25 19:51:29+00:00,1121502006303182853,RainbowDoggieUnicorn,766,1272,7,40653,RainbowDoggiUni
2014-04-24 18:04:25+00:00,2462006298,David Prevatt,571,319,16,2004,DavidPrevatt2
2014-04-28 04:49:58+00:00,2467226497,Harmit S. Malik,36223,7767,192,60306,HarmitMalik
2020-06-02 19:43:30+00:00,1267904645302812672,PigeonGoblin,294,431,1,3453,id_president
2013-09-07 16:09:11+00:00,1754700326,ᴴL²⁸ 🐍,7285,5124,73,47216,Wicked_Archer
2020-05-22 01:53:48+00:00,1263649189906571264,probably buried in trash,1092,441,15,11805,puckopossum
2014-02-06 18:55:04+00:00,2330713417,Lindsey (she/her),2330,1625,12,31224,LindseyLou1983
2019-04-25 04:00:14+00:00,1121262614099767297,Olivia💛,3743,453,10,5769,terfalicious
2018-06-06 01:25:03+00:00,1004172282103619584,Shiny,1832,4992,8,40758,growthHackSea
2013-10-19 00:52:03+00:00,1969914740,Auntie Zy 🚀,4196,2607,8,51562,ZySavy
2013-09-12 22:40:51+00:00,1858795783,Heather Silsbee,1044,1668,17,18379,h_silsbee
2021-02-09 08:59:55+00:00,1359064432165466113,fantasia 🤍,584,1150,2,9763,BEAU_Fantasia
2021-10-21 09:10:46+00:00,1451113668276469762,ann,275,370,1,4107,xiaotingimpact
2020-03-27 01:38:14+00:00,1243351529932894209,"Death Cab for Callie (""smart 4 a disabled person"")",6815,6093,5,25830,DeathCab4Callie
2020-10-15 17:30:16+00:00,1316793463267110916,Skyler,954,912,14,28210,evermoreweekend
2016-01-19 06:21:25+00:00,4826580454,BABY DON'T STOP IN 2022🙏,585,508,9,38513,kamekamikumi
2021-09-28 06:16:17+00:00,1442734841938677763,jikook,44,476,0,1901,jmscalico
2020-04-20 05:20:25+00:00,1252104764927684609,mimi,1437,780,27,22372,gothkasaz
2021-08-08 11:31:10+00:00,1424332291669643267,Kelli Sprague,44,127,0,84,KelliLSprague
2009-08-03 09:44:57+00:00,62479416,Dr Kavitha Reddy #WeThe49Percent | #JaiBhim,8789,398,62,60815,KavithaReddyKR
2019-12-31 05:57:48+00:00,1211889118361186304,maple,10,105,0,54,maple47827239
2010-04-01 14:24:54+00:00,128570592,Timdog,67477,6511,362,350622,XcloudTimdog
2021-05-04 14:16:15+00:00,1389584626209984520,Porkyspal,41,1144,0,25282,PorkyspalLol
2012-03-14 02:23:11+00:00,523924124,Sally Croom,126,293,1,20696,bsscroom
2017-05-08 00:11:26+00:00,861372938041348096,ĐΣⱢΛƝƗΣ,728,223,40,9966,ArtandSoulSTU
2017-06-12 13:16:31+00:00,874254086966738945,Pam Jarvis,6235,1895,36,71423,Dr_Pam_Jarvis
2020-10-14 18:02:39+00:00,1316439250271862786,⋆ 𝒜𝓋𝒶𝓁𝑒𝒾𝓃𝑒 ⋆,10196,666,31,6723,neathazurwaters
2010-10-16 03:32:22+00:00,203372724,Under NO Management 🚲,1715,3711,2,71487,BikeCurmudgeon
