created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2021-04-24 17:36:25+00:00,1386011091277279234,sam MAXIDENT,502,567,3,9047,i3rachamin
2020-10-16 00:20:42+00:00,1316896607909150720,El mango está balato🇨🇳🇨🇳,87,118,1,18619,puessoyandruzz
2016-03-08 15:09:40+00:00,707221752905146368,spooky boogie,34,207,0,452,leggy_chan
2018-12-31 14:19:58+00:00,1079743974305382400,⭐️ MIMI ⭐️,2256,1483,16,58461,BRATZULA
2020-12-11 08:39:24+00:00,1337316005714960384,Demonic,84,57,3,1381,DemonicRobot
2021-03-23 09:03:58+00:00,1374285718873272328,🇨🇦𝙆𝙧𝙞𝙨𝙩𝙞𝙣𝙖🍉BDAY SEPT 16th🎁🔝4%OF🍉4.2k,4280,694,9,17094,GoddessLove666
2021-11-29 02:00:01+00:00,1465138387648606212,DykeFag Dylan🏳️‍⚧️⚔️,609,122,2,10766,storyjunkie
2019-12-05 16:00:11+00:00,1202618592799395841,Aaron García𓃵 🇳🇮🗽,462,1750,4,98501,AaronJoseGarci1
2020-09-03 18:47:15+00:00,1301592556862664710,Jacob Keppen,1069,913,19,20360,Jacobkeppen
2019-10-26 23:24:24+00:00,1188234924823891968,Eclipseの子羊,413,442,1,22640,UnmeltingIce
2019-12-09 22:12:42+00:00,1204161910561624065,Chris MacIntosh,225,389,0,23179,Mac_Chris_
2020-10-05 17:07:02+00:00,1313163773419683840,Processin',82,151,0,3746,cockprocessing
2012-07-28 20:26:26+00:00,722775086,Noah,69205,998,163,37864,Pikaclicks
2008-11-09 04:14:42+00:00,17264476,Brianna Wu,118655,7642,2495,119711,BriannaWu
2020-02-20 21:05:54+00:00,1230599447786082304,hobipalooza attendee⁷,520,205,2,129898,kepjang457
2019-03-06 04:02:49+00:00,1103143874061656064,Bullexto 💙💛,578,443,13,48926,bullexto1
2014-10-17 02:35:43+00:00,2834752132,"Adam, end of summer enjoyer",1672,373,30,53733,Truth_Reaction
2021-08-18 21:40:41+00:00,1428109536276230156,☁️ ᴡʜɪᴛᴇ ʀᴀʙʙɪᴛ ☁️,452,430,5,8365,gothamsboy
2014-05-29 11:36:49+00:00,2532493645,Lillersˎˊ˗✨,3900,777,15,7258,Lillipie101
2020-07-11 01:19:43+00:00,1281759992954138625,👻 of Fred Hampton,1389,676,8,31419,NotYetSurgeon
2020-03-08 14:13:48+00:00,1236656342674407427,Jax Persists,49038,19136,83,56265,LadyJayPersists
2021-01-14 01:43:06+00:00,1349532325181349891,Truth & Social Justice,340,1160,3,19515,truthjustice61
2009-05-14 02:58:11+00:00,39911777,Ezra Cubero 🔜 TIFF22,437,306,6,16599,EzraCubero
2009-09-15 03:30:07+00:00,74353840,"René Brooks | Black Girl, Lost Keys | ADHD",75743,2633,662,67231,blkgirllostkeys
2014-04-24 18:04:25+00:00,2462006298,David Prevatt,569,319,16,2004,DavidPrevatt2
2019-02-10 10:13:28+00:00,1094539842170417152,🍭🌈A HAPPY SOUL🍭🌈,132,292,0,48465,AHappySoul21
2019-12-29 21:53:29+00:00,1211404797141602304,Retired Detective,328,43,2,649,ArrestCrooks
2020-03-18 14:01:09+00:00,1240277014482956292,Mister1030,1663,5001,7,75731,RalphHaley10
2015-09-15 23:33:46+00:00,3668861177,kobee,145,38,0,3500,KobeeQuinn
2021-04-23 23:46:37+00:00,1385741898455859201,♨️丂Ҝㄖㄖ爪卂♨️,269,777,0,15685,Skooma_Beast
2021-09-13 02:15:38+00:00,1437238483958091780,ceecee ✧,223,297,0,1478,BRATZB0YZ
2020-11-28 11:41:57+00:00,1332650901711036417,Chawieeee,45,99,0,2747,Chawieeee13
2017-04-09 20:03:40+00:00,851163722718609409,RN Shark,6409,7002,5,66580,RN_MSN_Snark
2020-12-02 07:02:49+00:00,1334030211592163328,Topolini Cazzalio,384,1922,3,9610,Skunknoodles2
2021-04-07 08:40:04+00:00,1379715471063142400,iana ₇ ⑰ ⁵ Dalmajung 💜,853,602,0,23666,ianabunny
2009-11-28 02:50:55+00:00,93104930,Princesa Major,2619,2894,1,46569,PrincessaSimona
2021-02-27 04:06:52+00:00,1365513615634165761,shay (closed),606,1009,1,20293,prodmygtk
2018-10-06 11:43:22+00:00,1048539204345520128,saratönin,1781,324,1,29391,sarareijojo
2020-05-29 17:45:50+00:00,1266425465918504960,Jenn,58,271,2,7815,jennomish
2012-10-30 01:59:23+00:00,913676804,Kurtis,76,127,0,80,skurrrtis
2010-05-30 15:14:33+00:00,149913262,David Burge,224272,521,3199,108222,iowahawkblog
2019-11-07 21:10:50+00:00,1192549842830200832,"NO GODS, NO MASTERS, BISEXUAL DISASTERS🏴🏳️‍🌈🔞",363,75,1,80655,TravisTeatime
2013-11-11 10:43:23+00:00,2176796415,🍍Straw,1040,1013,1,10222,strawfurball
2017-07-15 12:33:59+00:00,886202178733568001,Senior Boobies,7186,6553,5,61179,SeniorBoobies
2009-05-06 20:41:55+00:00,38271276,Matt Taibbi,666501,4052,9876,24243,mtaibbi
2020-07-04 13:39:45+00:00,1279409524110168064,jyichinose ❣︎ is manifesting her hillerska era,310,328,1,9031,jyichinose
2018-08-08 23:36:15+00:00,1027337726176256003,Remington 🇨🇦 (remthebathboi),6061,1866,30,18145,bath_boi
2017-01-03 07:17:12+00:00,816181599272337408,LesediLaAfrika♥️🍀,1319,712,0,24780,_lxsxdx_
2020-12-23 05:07:59+00:00,1341611422401384450,T.Biggs,5141,3108,12,24272,TBiggsTequila
2018-01-16 18:35:18+00:00,953334862206836741,AnnieClimactic,110,177,1,2568,AnnieClimactic
2018-06-06 18:40:41+00:00,1004432907782352896,Radical MGTOW,1018,815,9,33605,MgtowRadical
2019-03-10 18:14:42+00:00,1104807808791265281,Laura McKnight (she/her),10420,1700,22,7675,McknightLaura
2020-08-27 21:45:05+00:00,1299100605672312832,tati𖧷 (hyune’s version)🍯🐸,320,575,14,26599,hwanghyuney
2011-03-05 09:31:46+00:00,261137809,Stygian Hearth 🦇🩸,901,477,3,286876,HearthHolmes
2020-12-30 03:05:03+00:00,1344117198772600832,angela 🫵,2289,874,39,47967,tangsanzangz
2011-11-03 02:11:12+00:00,403835551,Kim Carl,76,65,1,932,1KimCarl
2018-10-28 17:51:50+00:00,1056604465548029952,okLuis,292,263,1,5960,okLuis99
2009-12-31 05:04:37+00:00,100686296,FineAssAuntie,1224,433,8,120204,bj_blunt
2020-10-07 17:19:06+00:00,1313891556378775558,cheri,1785,577,28,49865,Z3MBIE
2011-12-16 03:20:14+00:00,438028554,Luke 🇨🇦 🍁🇳🇱,1761,823,1,17958,scotchypoli
2019-02-28 18:16:12+00:00,1101184307853316096,Ahmed Mohamed,19,154,0,182,aosmanmo
